Quels sont les trois éléments qui définissent un jeu sous forme normale ?,"Un nombre fini de joueurs (N), un ensemble de stratégies pour chaque joueur ($S_i$), et une fonction de paiement pour chaque joueur ($g_i$)."
"Dans la théorie des jeux, une _____ spécifie pour chaque situation une décision bien déterminée, tandis qu'une stratégie mixte peut intégrer des choix aléatoires.",stratégie pure
Comment définit-on un jeu à intérêts communs ?,"C'est un jeu où tous les joueurs ont les mêmes fonctions de paiement, c'est-à-dire $g_i = g_j$ pour tous joueurs $i, j$."
Quelle est la caractéristique principale d'un jeu à somme nulle à deux joueurs ?,"Les intérêts des joueurs sont parfaitement antagonistes, la somme de leurs fonctions d'utilité est nulle ($g_2 = -g_1$)."
"Dans le dilemme du prisonnier, pourquoi la coopération (les deux se taisent) n'est-elle pas un équilibre, bien qu'elle soit collectivement meilleure ?","Car chaque joueur a un intérêt individuel à trahir l'autre, quelle que soit la décision de l'autre."
"Dans une compétition de Cournot, sur quelle variable les entreprises se font-elles concurrence ?",Les quantités à produire ($q_i$).
"Dans une compétition de Bertrand, sur quelle variable les entreprises se font-elles concurrence ?",Les prix de vente ($p_i$).
Quand une stratégie $s_i$ est-elle dite 'strictement dominée' ?,"S'il existe une autre stratégie $t_i$ qui donne un paiement strictement meilleur, quels que soient les choix des autres joueurs."
Quelle est la propriété d'unicité concernant une stratégie strictement dominante ?,"Si un joueur a une stratégie strictement dominante, alors elle est unique."
Qu'est-ce qu'un jeu 'résoluble par élimination itérée des stratégies strictement dominées' ?,Un jeu où le processus d'élimination successive des stratégies strictement dominées aboutit à un unique profil de stratégies.
Quelle est la principale différence entre la dominance faible et la dominance stricte ?,"La dominance faible utilise une inégalité large ($\ge$) et exige qu'au moins une inégalité soit stricte (>), tandis que la dominance stricte n'utilise que des inégalités strictes (>)."
Pourquoi la procédure d'élimination itérée des stratégies faiblement dominées est-elle moins robuste que celle des stratégies strictement dominées ?,Parce que le résultat final peut dépendre de l'ordre dans lequel les stratégies sont éliminées.
Définition : Équilibre de Nash,"Un profil de stratégies où aucun joueur n'a intérêt à dévier unilatéralement, étant donné les stratégies des autres joueurs."
"Un profil de stratégies $s$ est un équilibre de Nash si et seulement si pour tout joueur $i$, $s_i$ est un élément de _____.",$BR_i(s_{-i})$ (l'ensemble des meilleures réponses à $s_{-i}$)
Un équilibre en stratégies strictement dominantes est-il un équilibre de Nash ?,"Oui, et c'est l'unique équilibre de Nash du jeu."
"Dans une enchère de Vickrey (au second prix), quelle est la stratégie dominante pour chaque joueur ?",Proposer une offre égale à sa propre estimation de la valeur de l'objet ($s_i = v_i$).
Pourquoi une enchère au second prix incite-t-elle les participants à révéler leur véritable évaluation ?,Car annoncer sa vraie valeur est une stratégie dominante ; le paiement ne dépend pas de sa propre offre (si on gagne) mais de la deuxième meilleure offre.
Qu'est-ce qu'une stratégie mixte pour un joueur i ?,Une distribution de probabilités sur son ensemble de stratégies pures $S_i$.
Que stipule le théorème de Nash (1950) ?,Tout jeu fini (avec des ensembles de stratégies finis) admet au moins un équilibre de Nash en stratégies mixtes.
Qu'est-ce que le 'support' d'une stratégie mixte $\sigma_i$ ?,C'est l'ensemble des stratégies pures jouées avec une probabilité strictement positive par $\sigma_i$.
Quel est le 'principe d'indifférence' utilisé pour trouver les équilibres de Nash en stratégies mixtes ?,"À l'équilibre, un joueur doit être indifférent entre toutes les stratégies pures dans le support de sa stratégie mixte."
"Dans un jeu à somme nulle, comment est défini le paiement garanti (maxmin) $v$ du Joueur 1 ?","C'est le supremum des paiements que le Joueur 1 peut garantir quel que soit le choix du Joueur 2, soit $\sup_{i \in I} \inf_{j \in J} g(i, j)$."
Quand dit-on qu'un jeu à somme nulle a une 'valeur' ?,Lorsque le maxmin du Joueur 1 est égal au minmax du Joueur 2 ($v = \bar{v}$).
Quel est le lien entre l'équilibre de Nash et la notion de valeur dans un jeu à somme nulle ?,Un profil est un équilibre de Nash si et seulement si le jeu a une valeur et le profil est un couple de stratégies optimales.
Que garantit le théorème du minmax de Von Neumann pour les jeux matriciels (finis) ?,"Que toute extension mixte d'un jeu matriciel admet une valeur, et chaque joueur a une stratégie optimale."
"Dans un jeu sous forme extensive, qu'est-ce qu'un 'ensemble d'information' ?",Un ensemble de nœuds de décision qu'un joueur ne peut distinguer les uns des autres.
Quelle est la différence entre un jeu à information parfaite et à information imparfaite ?,"Dans un jeu à information parfaite, chaque ensemble d'information est un singleton ; le joueur connaît toujours exactement sa position dans l'arbre."
Qu'est-ce qu'un 'sous-jeu' dans un jeu sous forme extensive ?,"Un sous-arbre du jeu qui commence à un nœud et contient tous ses successeurs, sans couper aucun ensemble d'information."
Définition : Équilibre sous-jeu parfait (SPNE),Un profil de stratégies qui induit un équilibre de Nash dans chaque sous-jeu du jeu original.
Quelle méthode est utilisée pour trouver les équilibres sous-jeu parfaits dans les jeux à information parfaite ?,L'induction en amont (backward induction).
L'équilibre sous-jeu parfait est un raffinement de l'équilibre de Nash qui élimine les _____ non crédibles.,menaces
"Dans le contexte des jeux répétés, qu'est-ce que le 'facteur d'escompte' $\delta$ représente ?",Il représente la patience des joueurs ; une valeur de $\delta$ proche de 1 signifie que les gains futurs sont presque aussi importants que les gains présents.
"Dans un dilemme du prisonnier répété un nombre fini de fois, quel est le résultat de l'induction en amont ?","Les joueurs jouent la stratégie de défection ('Trahir') à chaque étape, menant au paiement non coopératif."
Qu'est-ce qu'une 'stratégie de la gâchette' (trigger strategy) dans un jeu répété ?,"Une stratégie qui consiste à coopérer tant que l'autre coopère, mais à punir définitivement (ou pour une période) l'autre joueur dès la première défection."
Que stipule le 'Folk Theorem' de manière générale pour les jeux répétés indéfiniment ?,Tout paiement réalisable et individuellement rationnel peut être maintenu comme un paiement d'équilibre sous-jeu parfait si les joueurs sont suffisamment patients.
Dans quel cas un paiement est-il dit 'individuellement rationnel' ?,Si chaque joueur reçoit au moins son paiement de punition (maxmin).
Qu'est-ce qu'un 'équilibre corrélé' ?,"Un équilibre dans un jeu étendu où un médiateur envoie des recommandations (publiques ou privées) aux joueurs, qu'ils ont intérêt à suivre."
Quel est le principal avantage des équilibres corrélés par rapport aux équilibres de Nash ?,"Ils permettent d'atteindre des paiements qui se trouvent en dehors de l'enveloppe convexe des paiements d'équilibres de Nash, améliorant potentiellement le bien-être collectif."
"Dans le modèle de concurrence à la Bertrand avec un coût unitaire de 1 et une demande $D(p) = 10-2p$, quel est le prix de monopole ?",Le prix de monopole est $p_M = 3$.
"Dans le modèle de concurrence à la Bertrand avec un coût unitaire de 1 et une demande $D(p) = 10-2p$, quel est l'unique équilibre de Nash en stratégies pures si les prix sont choisis dans $\mathbb{R}^+$ ?","L'unique équilibre de Nash est $(p_1, p_2) = (1,1)$, où le prix est égal au coût marginal."
"Dans le duopole de Bertrand avec des prix discrets $P=\{0,1,2,3,4\}$ et un coût de 1, pourquoi $(3,3)$ n'est-il pas un équilibre de Nash ?","Parce que si un joueur fixe son prix à 3, l'autre a intérêt à fixer un prix légèrement inférieur (ici 2) pour capter toute la demande et réaliser un profit positif."
"Dans le duopole de Bertrand, la concurrence en _____ est souvent plus favorable aux producteurs (profits positifs) que la concurrence en _____ (profits nuls à l'équilibre).",quantités (Cournot) ; prix (Bertrand)
"Selon le cours, dans quel type de secteur la concurrence se fait-elle probablement en prix ?",Dans les secteurs où les volumes de production sont facilement ajustables (ex: sodas).
"Selon le cours, dans quel type de secteur la concurrence se fait-elle probablement en quantités ?","Dans les secteurs où les volumes de production sont difficilement ajustables (ex: pétrole, avec les quotas de l'OPEP)."
"Une stratégie _____ dominée peut être jouée à l'équilibre de Nash, mais une stratégie _____ dominée ne le peut jamais.",faiblement ; strictement
"Dans un jeu à somme nulle, si $v \ne \bar{v}$, le jeu n'a pas de valeur en stratégies _____.",pures
Quel est le paiement du Joueur i dans un modèle de concurrence à la Bertrand si son prix $p_i$ est strictement inférieur au prix de son concurrent $p_j$ ?,Le Joueur i capte toute la demande et son profit est $(p_i - c) D(p_i)$.
Quelle est la condition pour qu'un profil de stratégies soit un équilibre de Nash en stratégies dominantes ?,"Pour chaque joueur i, sa stratégie $s_i$ doit être une stratégie dominante."
