Quelle est la définition d'une $\sigma$-algèbre (ou tribu) $\mathcal{F}$ sur un ensemble $\Omega$ ?,"C'est une collection de sous-ensembles de $\Omega$ qui contient $\Omega$, est stable par passage au complémentaire et par union dénombrable."
"Si $\mathcal{C} = \{A\}$ où $A \subset \Omega$, quelle est la $\sigma$-algèbre engendrée par $\mathcal{C}$ ?","La $\sigma$-algèbre engendrée, $\sigma(\mathcal{C})$, est $\{\emptyset, A, A^c, \Omega\}$."
Qu'est-ce qu'un espace mesurable ?,"Un couple $(\Omega, \mathcal{F})$ où $\Omega$ est un ensemble et $\mathcal{F}$ est une $\sigma$-algèbre sur $\Omega$."
"Quelle est la définition d'une mesure $\mu$ sur un espace mesurable $(\Omega, \mathcal{F})$ ?","C'est une fonction $\sigma$-additive à valeurs dans $[0, +\infty]$ définie sur $\mathcal{F}$ telle que $\mu(\emptyset) = 0$."
"Quand dit-on qu'une mesure $\mu$ sur $(\Omega, \mathcal{F})$ est une mesure de probabilité ?",Lorsque $\mu(\Omega) = 1$.
"Selon le Corollaire 1.10, si $(\Omega, \mathcal{F}, P)$ est un espace de probabilité et $A \in \mathcal{F}$, comment s'exprime $P(A^c)$ ?",$P(A^c) = 1 - P(A)$.
Qu'est-ce qu'un système $\pi$ (ou collection stable par intersection finie) ?,C'est une collection de sous-ensembles de $\Omega$ qui est stable par intersection finie.
Énoncez le Théorème de la classe monotone (Théorème 1.13).,"Si $\mathcal{C}$ est un système $\pi$, alors tout système $\lambda$ contenant $\mathcal{C}$ contient également la $\sigma$-algèbre engendrée $\sigma(\mathcal{C})$."
"Quand une fonction $f$ d'un espace mesurable $(S, \mathcal{S})$ dans $(E, \mathcal{E})$ est-elle dite mesurable ?","Lorsque la $\sigma$-algèbre engendrée par $f$, notée $\sigma(f)$, est incluse dans $\mathcal{S}$ (c'est-à-dire, $f^{-1}(A) \in \mathcal{S}$ pour tout $A \in \mathcal{E}$)."
"Soit $A \subset S$. La fonction indicatrice $1_A$ est mesurable de $(S, \mathcal{S})$ dans $(\mathbb{R}, \mathcal{B}(\mathbb{R}))$ si et seulement si _____.","$A$ est mesurable (i.e., $A \in \mathcal{S}$)."
"Si $(f_n, n \in \mathbb{N})$ est une suite de fonctions mesurables à valeurs réelles, les fonctions $\limsup_{n\to\infty} f_n$ et $\liminf_{n\to\infty} f_n$ sont-elles mesurables ?","Oui, elles sont toutes les deux mesurables."
Qu'est-ce qu'une variable aléatoire (v.a.) ?,"C'est une fonction mesurable $X$ définie sur un espace de probabilité $(\Omega, \mathcal{F}, P)$ à valeurs dans un espace mesurable $(E, \mathcal{E})$."
Comment définit-on l'espérance $E[X]$ d'une variable aléatoire réelle $X$ ?,"L'espérance est l'intégrale de $X$ par rapport à la mesure de probabilité $P$, notée $E[X] = \int X(\omega) P(d\omega)$."
Quelle est l'inégalité de Cauchy-Schwarz pour deux variables aléatoires $f$ et $g$ de carré intégrable ?,$\int |fg| d\mu \leq (\int f^2 d\mu)^{1/2} (\int g^2 d\mu)^{1/2}$.
Énoncez l'inégalité de Jensen pour une v.a. $X$ intégrable à valeurs dans $\mathbb{R}^d$ et une fonction convexe $\varphi$.,$\varphi(E[X]) \leq E[\varphi(X)]$.
Comment définit-on la covariance de deux variables aléatoires $X$ et $Y$ de carré intégrable ?,"$\text{Cov}(X,Y) = E[XY] - E[X]E[Y]$."
Comment définit-on la variance d'une variable aléatoire $X$ de carré intégrable ?,"$\text{Var}(X) = \text{Cov}(X,X) = E[(X - E[X])^2]$."
"Si des variables aléatoires $(X_i, i \in I)$ sont indépendantes, que peut-on dire de $E[\prod_{j \in J} f_j(X_j)]$ pour tout sous-ensemble fini $J \subset I$ ?",$E[\prod_{j \in J} f_j(X_j)] = \prod_{j \in J} E[f_j(X_j)]$ pour toutes fonctions mesurables bornées $f_j$.
"Quelle est la définition de l'espérance conditionnelle $E[X|\mathcal{H}]$ d'une v.a. $X$ dont l'espérance est bien définie, par rapport à une sous-tribu $\mathcal{H}$ ?",C'est l'unique (à une égalité p.s. près) variable aléatoire $Z$ qui est $\mathcal{H}$-mesurable et qui vérifie $E[X 1_A] = E[Z 1_A]$ pour tout $A \in \mathcal{H}$.
"Si $X \in L^2$, comment peut-on interpréter géométriquement $E[X|\mathcal{H}]$ ?",C'est la projection orthogonale de $X$ sur le sous-espace de Hilbert des variables aléatoires de carré intégrable et $\mathcal{H}$-mesurables.
"Propriété de l'espérance conditionnelle : si $X \geq 0$ presque sûrement, alors $E[X|\mathcal{H}] \geq 0$ _____.",presque sûrement
