"En théorie des probabilités, qu'est-ce qu'une variable aléatoire à valeurs dans un espace mesurable $(E, \mathcal{E})$ ?","C'est une fonction mesurable $X : (\Omega, \mathcal{A}) \to (E, \mathcal{E})$."
Comment est définie la loi (ou distribution) d'une variable aléatoire $X$ ?,"C'est la mesure de probabilité $\mathbb{P}_X$ sur $(E, \mathcal{E})$ définie par $\mathbb{P}_X(C) = \mathbb{P}(\{ \omega \in \Omega : X(\omega) \in C \})$ pour tout $C \in \mathcal{E}$."
Quelle est la caractéristique principale d'une variable aléatoire discrète ?,Elle prend ses valeurs dans un ensemble fini ou dénombrable.
"La loi de Bernoulli, notée $\mathcal{B}(p)$, modélise une expérience binaire. Quelle est sa fonction de masse ?",$\mathbb{P}(X=1) = p$ et $\mathbb{P}(X=0) = 1-p$.
"Si $X \sim \mathcal{B}(p)$, quelles sont son espérance $E[X]$ et sa variance $Var(X)$ ?",$E[X] = p$ et $Var(X) = p(1-p)$.
La _____ est la loi de la somme de $n$ variables de Bernoulli indépendantes et de même paramètre $p$.,"loi binomiale $\mathcal{B}(n, p)$"
"Quelle est la fonction de masse de la loi binomiale $\mathcal{B}(n, p)$ ?","$\mathbb{P}(S_n = k) = \binom{n}{k} p^k (1-p)^{n-k}$ pour $k \in \{0, \dots, n\}$."
Quelle loi de probabilité modélise le temps du premier succès dans une série d'épreuves de Bernoulli indépendantes ?,La loi géométrique $\mathcal{G}(p)$.
"La loi de Poisson $\mathcal{P}(\lambda)$ est une approximation de la loi binomiale lorsque $n$ est grand, $p$ est petit, et $np \to \lambda$. Quelle est sa fonction de masse ?",$\mathbb{P}(N=k) = e^{-\lambda} \frac{\lambda^k}{k!}$ pour $k \ge 0$.
La densité de la loi Exponentielle $\mathcal{E}(\lambda)$ est donnée par _____.,$p(x) = \lambda e^{-\lambda x}$ pour $x \ge 0$
Quelle est la relation entre la fonction de répartition (CDF) $F$ et la densité $p$ d'une variable aléatoire réelle ?,"$F(x) = \int_{-\infty}^x p(t) dt$, et donc $p(x) = F'(x)$."
"Comment définit-on un quantile d'ordre $r \in (0, 1)$ pour une variable aléatoire réelle $X$ ?",C'est un nombre $q_r$ tel que $\mathbb{P}(X \le q_r) \ge r$ et $\mathbb{P}(X \ge q_r) \ge 1-r$.
"Un vecteur aléatoire $X \in \mathbb{R}^d$ est dit Gaussien si, pour tout $u \in \mathbb{R}^d$, la variable aléatoire _____ est Gaussienne.","$\langle u, X \rangle$"
